2026-04-14 13:45:42 | INFO     | db.database | Connecting to database: sqlite:///./test.db
2026-04-14 13:45:42 | INFO     | db.database | Database engine created successfully
2026-04-14 13:45:42 | INFO     | db.database | SessionLocal configured
2026-04-14 13:45:42 | INFO     | db.base | SQLAlchemy Base initialized
2026-04-14 13:45:42 | INFO     | core.config | [CONFIG] Database: sqlite:///./test.db
2026-04-14 13:45:42 | INFO     | core.config | [CONFIG] Ollama: http://localhost:11434
2026-04-14 13:45:42 | INFO     | core.config | [CONFIG] Settings loaded successfully
2026-04-14 13:46:26 | INFO     | db.database | Connecting to database: sqlite:///./test.db
2026-04-14 13:46:26 | INFO     | db.database | Database engine created successfully
2026-04-14 13:46:26 | INFO     | db.database | SessionLocal configured
2026-04-14 13:46:26 | INFO     | db.base | SQLAlchemy Base initialized
2026-04-14 13:46:26 | INFO     | core.config | [CONFIG] Database: sqlite:///./test.db
2026-04-14 13:46:26 | INFO     | core.config | [CONFIG] Ollama: http://localhost:11434
2026-04-14 13:46:26 | INFO     | core.config | [CONFIG] Settings loaded successfully
2026-04-14 13:48:08 | INFO     | db.database | Connecting to database: sqlite:///./test.db
2026-04-14 13:48:08 | INFO     | db.database | Database engine created successfully
2026-04-14 13:48:08 | INFO     | db.database | SessionLocal configured
2026-04-14 13:48:08 | INFO     | db.base | SQLAlchemy Base initialized
2026-04-14 13:48:08 | INFO     | core.config | [CONFIG] Database: sqlite:///./test.db
2026-04-14 13:48:08 | INFO     | core.config | [CONFIG] Ollama: http://localhost:11434
2026-04-14 13:48:08 | INFO     | core.config | [CONFIG] Settings loaded successfully
2026-04-14 13:48:09 | INFO     | core.llm_engine | [LLM ENGINE] Client initialized at http://localhost:11434
2026-04-14 13:48:11 | WARNING  | core.embeddings_loader | [EMBEDDINGS] File not found at LLM\embeddings.joblib
2026-04-14 13:48:11 | INFO     | app.main | [MAIN] Database tables created
2026-04-14 13:48:11 | INFO     | app.main | [MAIN] CORS middleware added
2026-04-14 13:48:11 | INFO     | app.main | [MAIN] All routers registered
2026-04-14 13:48:27 | INFO     | db.database | Connecting to database: sqlite:///./test.db
2026-04-14 13:48:27 | INFO     | db.database | Database engine created successfully
2026-04-14 13:48:27 | INFO     | db.database | SessionLocal configured
2026-04-14 13:48:27 | INFO     | db.base | SQLAlchemy Base initialized
2026-04-14 13:48:27 | INFO     | core.config | [CONFIG] Database: sqlite:///./test.db
2026-04-14 13:48:27 | INFO     | core.config | [CONFIG] Ollama: http://localhost:11434
2026-04-14 13:48:27 | INFO     | core.config | [CONFIG] Settings loaded successfully
2026-04-14 13:48:28 | INFO     | core.llm_engine | [LLM ENGINE] Client initialized at http://localhost:11434
2026-04-14 13:48:29 | WARNING  | core.embeddings_loader | [EMBEDDINGS] File not found at LLM\embeddings.joblib
2026-04-14 13:48:29 | INFO     | app.main | [MAIN] Database tables created
2026-04-14 13:48:29 | INFO     | app.main | [MAIN] CORS middleware added
2026-04-14 13:48:29 | INFO     | app.main | [MAIN] All routers registered
2026-04-14 13:48:29 | INFO     | app.main | [MAIN] 🚀 Server started successfully
2026-04-14 13:48:29 | INFO     | app.main | [MAIN] EchoAI  → /chat
2026-04-14 13:48:29 | INFO     | app.main | [MAIN] AtlasAI → /rag
2026-04-14 13:48:29 | INFO     | app.main | [MAIN] Auth    → /auth
2026-04-14 13:48:29 | INFO     | app.main | [MAIN] User    → /user
2026-04-14 13:48:29 | INFO     | app.main | [MAIN] Docs    → /docs
2026-04-14 13:48:38 | INFO     | app.main | [MAIN] Server shutting down...
2026-04-14 13:48:51 | INFO     | db.database | Connecting to database: sqlite:///./test.db
2026-04-14 13:48:51 | INFO     | db.database | Database engine created successfully
2026-04-14 13:48:51 | INFO     | db.database | SessionLocal configured
2026-04-14 13:48:51 | INFO     | db.base | SQLAlchemy Base initialized
2026-04-14 13:48:51 | INFO     | core.config | [CONFIG] Database: sqlite:///./test.db
2026-04-14 13:48:51 | INFO     | core.config | [CONFIG] Ollama: http://localhost:11434
2026-04-14 13:48:51 | INFO     | core.config | [CONFIG] Settings loaded successfully
2026-04-14 13:48:52 | INFO     | core.llm_engine | [LLM ENGINE] Client initialized at http://localhost:11434
2026-04-14 13:48:53 | WARNING  | core.embeddings_loader | [EMBEDDINGS] File not found at LLM\embeddings.joblib
2026-04-14 13:48:53 | INFO     | app.main | [MAIN] Database tables created
2026-04-14 13:48:53 | INFO     | app.main | [MAIN] CORS middleware added
2026-04-14 13:48:53 | INFO     | app.main | [MAIN] All routers registered
2026-04-14 13:48:53 | INFO     | app.main | [MAIN] 🚀 Server started successfully
2026-04-14 13:48:53 | INFO     | app.main | [MAIN] EchoAI  → /chat
2026-04-14 13:48:53 | INFO     | app.main | [MAIN] AtlasAI → /rag
2026-04-14 13:48:53 | INFO     | app.main | [MAIN] Auth    → /auth
2026-04-14 13:48:53 | INFO     | app.main | [MAIN] User    → /user
2026-04-14 13:48:53 | INFO     | app.main | [MAIN] Docs    → /docs
2026-04-14 13:49:13 | INFO     | app.main | [MAIN] Root endpoint hit
2026-04-14 13:50:45 | INFO     | app.main | [MAIN] Root endpoint hit
2026-04-14 13:52:59 | INFO     | app.main | [MAIN] Server shutting down...
2026-04-14 13:53:00 | INFO     | db.database | Connecting to database: sqlite:///./test.db
2026-04-14 13:53:00 | INFO     | db.database | Database engine created successfully
2026-04-14 13:53:00 | INFO     | db.database | SessionLocal configured
2026-04-14 13:53:00 | INFO     | db.base | SQLAlchemy Base initialized
2026-04-14 13:53:00 | INFO     | core.config | [CONFIG] Database: sqlite:///./test.db
2026-04-14 13:53:00 | INFO     | core.config | [CONFIG] Ollama: http://localhost:11434
2026-04-14 13:53:00 | INFO     | core.config | [CONFIG] Settings loaded successfully
2026-04-14 13:53:01 | INFO     | core.llm_engine | [LLM ENGINE] Client initialized at http://localhost:11434
2026-04-14 13:53:02 | INFO     | core.embeddings_loader | [EMBEDDINGS] Looking for embeddings at: D:\data scientists\Ai Teaching Assistance\ai-teaching-assistant\LLM\embeddings.joblib
2026-04-14 13:53:02 | INFO     | core.embeddings_loader | [EMBEDDINGS] Loaded successfully | rows=7252
2026-04-14 13:53:02 | INFO     | app.main | [MAIN] Database tables created
2026-04-14 13:53:02 | INFO     | app.main | [MAIN] CORS middleware added
2026-04-14 13:53:02 | INFO     | app.main | [MAIN] All routers registered
2026-04-14 13:53:02 | INFO     | app.main | [MAIN] 🚀 Server started successfully
2026-04-14 13:53:02 | INFO     | app.main | [MAIN] EchoAI  → /chat
2026-04-14 13:53:02 | INFO     | app.main | [MAIN] AtlasAI → /rag
2026-04-14 13:53:02 | INFO     | app.main | [MAIN] Auth    → /auth
2026-04-14 13:53:02 | INFO     | app.main | [MAIN] User    → /user
2026-04-14 13:53:02 | INFO     | app.main | [MAIN] Docs    → /docs
2026-04-14 13:54:43 | INFO     | db.database | Database session opened
2026-04-14 13:54:43 | INFO     | api.auth | [AUTH API] Register request | email=alex@gmail.com
2026-04-14 13:54:43 | INFO     | services.auth_service | [AUTH SERVICE] Register attempt | email=alex@gmail.com
2026-04-14 13:54:43 | INFO     | core.security | [SECURITY] Hashing password
2026-04-14 13:54:43 | INFO     | db.database | Database session closed
2026-04-14 13:55:46 | INFO     | app.main | [MAIN] Server shutting down...
2026-04-14 13:56:48 | INFO     | db.database | Connecting to database: sqlite:///./test.db
2026-04-14 13:56:48 | INFO     | db.database | Database engine created successfully
2026-04-14 13:56:48 | INFO     | db.database | SessionLocal configured
2026-04-14 13:56:48 | INFO     | db.base | SQLAlchemy Base initialized
